Other_008.jpg;726;920;772;970;0
Other_008.jpg;505;316;588;410;0
Other_003.JPG;833;322;937;452;0
Other_006.JPG;507;429;693;695;0
Lenin_009.jpg;1321;908;1622;1202;1
Lenin_003.JPG;907;311;1049;465;0
Lenin_003.JPG;1253;288;1365;421;0
Lenin_006.jpg;1283;704;2120;1846;0
Lenin_001.JPG;797;230;909;359;1
Lenin_010.JPG;846;386;1003;556;0
Other_009.JPG;1373;121;1547;327;0
Other_007.jpg;1880;599;2042;779;0
Lenin_005.JPG;737;356;915;571;1
Lenin_002.JPG;858;250;944;349;1
Lenin_008.jpg;2149;430;2270;559;0
Other_002.jpg;1723;356;1839;477;1
Other_001.jpg;2930;460;3109;674;0
Other_005.JPG;775;240;914;386;0
Lenin_004.jpg;675;1596;1199;2292;0
Lenin_004.jpg;1881;433;2075;699;0
Other_010.JPG;578;1074;687;1193;0
Other_004.jpg;1788;291;2389;1033;0
Lenin_007.JPG;1040;179;1499;827;0
